MONDAY,7.00 AM→9.00 AM,9.00 AM→11.00 AM,11.00 AM→01.00 PM,01.00 PM→03.00 PM,03.00 PM→05.00 PM,05.00 PM→07.00 PM
S408,CHIN 428,FSAQ 160,CHAL 451,BOTA 352,BOTA 342,BIOC 312
S502,COSC 211,COSC 221,,COSC 434,BOTA 101 (D),COSC 435
S503,EAPE 411(D),COSC 325,EDCI 311 (C),COSC 312,CHEM 419,ZOOL 143(T)
S508,MATH 344(B),BOTA 102,ZOOL 336,BIOC 406,BIOC 311,BIOC 452
MONDAY,,,,,,
S408,CHIN 428,FSAQ 160,CHAL 451,BOTA 352,BOTA 342,BIOC 312
S502,COSC 211,COSC 221,,COSC 434,BOTA 101 (D),COSC 435
S503,EAPE 411(D),COSC 325,EDCI 311 (C),COSC 312,CHEM 419,ZOOL 143(T)
S508,MATH 344(B),BOTA 102,ZOOL 336,BIOC 406,BIOC 311,BIOC 452
L2,ECDE 411,ECDE 431,ECDE 321,ECDE 441,ECDE 332,ECDE 334
L3,BMET 417,BMET 315,BMET 442,BMET 334,PHYS 00111,COSC 00101
FTC 301,,,BCOM 103,,PHYS 483,
L2,ECDE 411,ECDE 431,ECDE 321,ECDE 441,ECDE 332,ECDE 334
L3,BMET 417,BMET 315,BMET 442,BMET 334,PHYS 00111,COSC 00101
FTC 301,,,BCOM 103,,PHYS 483,
TUESDAY,,,,,,
TUESDAY,,,,,,
,,,WEDNESDAY,,,
THURSDAY,,,,,,
S502,COSC 261,MATH 322(E),MATH 101,CHEM 419,EDCI 201 (C),CHEM 448
THURSDAY,,,,,,
S502,COSC 261,MATH 322(E),MATH 101,CHEM 419,EDCI 201 (C),CHEM 448
L1,ECDE 232,ECDE 241,ECDE 123,ECDE 141,CHAL 451,
L2,ECDE 431,ECDE 321,ECDE 432,ECDE 332,ECDE 443,ECDE 441
L1,ECDE 232,ECDE 241,ECDE 123,ECDE 141,CHAL 451,
L2,ECDE 431,ECDE 321,ECDE 432,ECDE 332,ECDE 443,ECDE 441
,,,FRIDAY,,,
